"Column1","Column2"
"Nets Easy Checkout Payment ID","Nets Easy Checkout Betalnings ID"
"Nets Easy Checkout Payment ID: %1","Nets Easy Checkout Betalnings ID: %1"
"Item","Produkt"
"Description","Beskrivning"
"Quantity","Antal"
"Price","Pris"
"Enter discount code","Ange rabattkod"
"Apply Discount","Applicera rabatt"
"Cancel Coupon","Avbryt rabattkod"
"Total,","Summa,"
"Product Name","Produktnamn"
"Excl. Tax","Exkl. moms"
"Qty","Antal"
"Subtotal","Delsumma"
"Go to payment","Gå till betalning"
"Shipping Method","Fraktmetod"
"_","_"
"Country","Land"
"Postal code","Postnummer"
"Choose Delivery","Välj fraktsätt"
"Please select a shipping method...","Vänligen välj ett fraktsätt..."
"Sorry, no quotes are available for this order right now.","Tyvärr, inga estimat är tillgängliga för denna order just nu."
"Dibs Checkout","Nets Checkout"
"Checkout","Checkout"
"Sign Up for Our Newsletter","Prenumerera på vårt nyhetsbrev"
"Nets Easy Checkout Payment ID ","Nets Easy Checkout Betalnings ID "
"Trending stuff right now","Trendande just nu"
"Add to Cart","Lägg till varukorgen"
"In stock","I lager"
"Out of stock","Ej i lager"
"Basket","Varukorg"
"%1 Items ","%1 produkt "
"%1 Item","%1 produkter"
"Submitting order information...","Skickar ordeinformation..."
"You will be redirected to the Nets easy Checkout page.","Du kommer att bli omdirigerad till Nets Easy Checkout."
"A pop-up for the Nets Easy Checkout will appear.", "En pop-up för Nets Easy Checkout visas."
"Are you sure you want to remove this?","Är du säker på att du vill ta bort detta?"
"Sorry, something went wrong. Please try again (reload this page)","Förlåt, ett fel inträffade. Vänligen försök igen (ladda om sidan)"
"Sorry, something went wrong. Please try again later.","Förlåt, ett fel inträffade. Vänligen försök igen senare."
"Dibs","Nets"
"Easy Checkout","Easy Checkout"
"Connection","Anslutning"
"Enabled","Aktiverad"
"Testmode","Testläge"
"Checkout Key","Checkout nyckel"
"Merchant Identifier, found in Easy-Portal","Kund-ID, hittas i Easy portalen"
"Secret Key","Hemlig nyckel"
"The secret key found in the DIBS Easy portal. Use only UUID, that is without the Live-Secret-Key- or Test-Secret-Key-","Hemliga nyckeln som hittas i Nets Easy portalen. Använd enbart UUID (exkludera Live-Secret-Key- och Test-Secret-Key- prefixen)"
"Settings","Inställningar"
"Url for Terms page","URL till sidan för villkor"
"Charge directly","Debitera direkt"
"By enabling this, the transaction will be charged automatically after reservation have been accepted.","Genom att aktivera detta kommer transaktionen att automatiskt debiteras efter att reservationen har godkänts."
"Replace checkout url with Dibs Checkout","Ersätt checkout URL med Nets Checkout"
"If Yes, the ""Go to Checkout"" button in the minicart and cart will point to Dibs checkout.","Om satt till ja kommer ""Gå till kassan""-knappen i mini-varukorgen leda till Nets Checkout."
"Layout options","Arrangemangalternativ"
"Display Newsletter checkbox","Visa nyhetsbrev checkruta"
"Display Discount Form","Visa rabattformulär"
"Crosssell Products","Korsförsäljningsprodukter"
"Display Crosssell Products","Visa korsförsäljningsprodukter"
"Number of Products","Antal produkter"
"New Order Status","Ny orderstatus"
"Sort Order","Sorteringsordning"
"We'll email you an order confirmation with details and tracking info.","Vi kommer att maila er en bekräftelse med orderdetaljer och spårningsinformation."
"Thank you! We have received your order.","Tack! Vi har mottagit er beställning."
"Order number:","Order ID:"
"Date:","Datum:"
"Total:","Summa:"
"Payment Method:","Betalsätt:"
"Order Details:","Orderdetaljer:"
"Product","Produkt"
"Subtotal","Delsumma"
"Title","Titel"
"Invalid country selected. Valid countries: %1","Ogiltigt land valt. Tillåtna länder: %1"
